"","P_GSM1679692","P_GSM1679693","P_GSM1679694","P_GSM1679695","P_GSM1679696","P_GSM1679697","P_GSM1679698","P_GSM1679699","P_GSM1679700","P_GSM1679701","P_GSM1679702","P_GSM1679703","P_GSM1679704","P_GSM1679705","P_GSM1679706","P_GSM1679707","P_GSM1679708","P_GSM1679709","P_GSM1679710","P_GSM1679711","P_GSM1679712","P_GSM1679713","P_GSM1679714","P_GSM1679715","P_GSM1679716","P_GSM1679717","P_GSM1679718","P_GSM1679719","P_GSM1679720"
"DGKZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5503384605739,0,0
"EWSR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYOU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLE2",0,0,0,0,0,0,0,0,0,68.6486285324573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPB1",2089.60281925478,5107.08620500249,194.049518734714,350.192403724733,432.983896349,1302.93308082716,207.615336614758,1367.64202166802,4752.79064947327,268.187308800133,570.821111775138,1066.85859614805,1187.73695511926,1392.09897987056,205.418149495522,1277.92036529288,1590.646109096,762.123469610394,694.016411654798,23937.0135433836,502.224245860813,2191.18645560096,8674.5166044332,423.45060600059,1039.82095512254,3129.93448641122,90.9671867853205,1796.2308895617,754.906401384573
"DNAJB1",4970.28992547163,36221.8037417346,2780.15021391014,2484.98112473596,3847.8380222713,5469.21363719605,2276.56438508801,8043.66881158909,45566.8762679682,2786.21900337067,3540.44999089103,3610.06479402716,2946.94790610247,7493.74375836767,3196.39669984241,5954.82064955086,5484.35668180362,4664.75856612385,3528.57290658201,121527.929970311,3436.55108022459,20034.1617101151,30801.252590268,3063.03912928111,3206.03072803998,13530.2940670424,2407.63810814042,7315.30271942125,4335.12530627795
"STIP1",145.388463549787,669.160862460153,51.5012940717724,94.9674315185717,100.076466608967,213.489531615176,62.2191071873881,300.195084573653,267.308468043102,122.652216311324,250.074010872918,113.004384330032,103.678155998539,217.477069229559,100.827956162637,204.179005732886,148.947427176834,156.971453257823,84.3618004442623,2130.65170118285,82.8176139165334,286.293704782899,921.698494056815,74.9611242260932,144.950839823472,305.575941351065,60.445301745509,337.672647646064,78.6968063219439
"PPP2R2B",108.328659115527,85.8546012213026,116.797577627055,87.053478892024,70.462002000191,40.1101544246694,85.7968741215562,41.3255570971522,82.9578004271697,84.2089843331476,16.3091746221468,49.8191371777562,59.7186178551585,55.2907803125996,115.124457409578,75.6663374186576,95.5511796983465,70.3665135293688,47.2426082487869,25.2446884026404,69.1413107009591,64.7759499648459,15.9256759232279,76.5560417628186,39.2575191188569,48.8160736183237,146.624741857918,29.0773668806333,111.730033666957
"RELA",655.673463067665,2833.20184030299,171.05786959553,276.988341929167,964.001882437396,1472.43083017012,172.903624183899,1363.74338420602,248.873401281509,504.338590951786,4005.26146762222,1046.20188073288,812.836743028546,1052.98219395329,293.454499279318,950.032903145368,784.081739289373,974.305571945107,748.007963939126,3135.39029960794,524.258289930349,682.146732345846,2275.38094753119,527.917704656103,935.134237472259,1262.87816425585,109.519705142853,1442.61258911013,259.407991209371
"POLD1",44.1866899023861,97.217710206475,9.19665965567365,31.6558105061906,50.0382333044835,93.1590683411676,24.2327049045617,64.7173818691251,47.2398585765828,37.5279169310767,91.0595583069863,54.6795408048543,34.8358604155091,56.5194643195463,15.0489486809907,44.4389600712751,50.5859186638305,23.8163584253248,29.2454241540109,121.174504332674,44.8278827621603,23.1913894935868,118.447214679008,39.8729384181347,71.4688168574062,43.1102987798183,5.38621500702555,61.906652068445,42.748882446488
"PLOD3",35.634427340634,238.625288688621,5.51799579340419,33.6342986628275,85.7798285219717,135.856974664203,20.3030770822003,77.9727492399098,57.609583629979,49.4270125433693,112.805124469849,41.3134308303344,41.4712623994156,56.5194643195463,29.3454499279318,79.2694963433556,68.8530559591026,51.9629638370724,30.3702481599344,621.019334704954,37.9897311543731,46.3827789871736,183.145273117121,26.3161393559689,27.178282466901,60.8615982773906,14.9617083528488,107.867651331381,35.9479238754559
"ANK2",232.336466260934,575.730855248735,1331.67631814154,526.277849665418,568.801958175455,98.3345721378991,772.826805064399,109.161848935874,311.091751601886,605.023246132724,25.8228598183991,207.782255058447,104.507581246527,126.554452715506,1067.72290891629,473.214872110335,421.549322198587,592.161275393304,143.977472758208,30.2936260831685,148.919746125143,403.850058422805,43.7956087888767,320.578424881803,91.6008779439995,193.362369527126,2112.59321942225,58.1547337612665,326.446011409545
"RPL11",72.6942317748933,242.412991683678,55.1799579340419,41.5482512893751,67.3984366958349,124.212091121557,45.1907199571555,85.7700241639007,66.8271170107756,65.902683391159,279.974164346853,80.1966598471197,100.360455006586,122.868400694666,39.1272665705757,138.121092113423,101.171837327661,57.3757725701007,41.6184882191694,383.719263720134,69.1413107009591,104.761104264133,420.039702475136,92.5052171300725,158.036679529757,154.689895621701,43.6881883903184,205.417527318022,101.042813055335
"TCIRG1",32.7836731533833,114.893657516743,40.465302484964,49.4622039159227,90.8857706958986,103.510075934631,34.056774460465,93.5672990878917,67.9793086833752,57.6648479672641,221.532955284161,137.306402465523,111.972408478422,141.298660798866,52.6713203834673,105.692661791141,127.869961066905,57.3757725701007,74.2383843909508,217.104320262708,93.4547386397579,31.9881234394301,177.17314464591,113.239145107503,141.931030660483,59.5936483132783,22.1433283622162,143.510875249577,113.673164687252
"BAG3",909.390585732979,8522.3317388793,682.392146450985,885.373450095017,1742.14746974385,2011.97710097938,920.18784840295,2134.89387418873,11851.4435443593,935.451978135618,1053.30086101365,3373.12011720613,1397.58154286031,3028.70607712351,987.211033472987,3050.67455624429,2654.35556544377,1711.53012138357,3111.26320038439,27163.2847212411,1343.31689361863,3329.16394695868,8309.22141294416,3801.48594878496,1045.86057344852,5772.97618660332,653.527420852434,5215.16644697809,5423.2786776431
"CLU",2056.81914610139,3776.3398860723,665.838159070772,958.577511890583,1328.56615365578,1880.00175416273,835.700850222181,2378.94857930965,1715.61340050077,1035.22131826946,767.890305126078,1970.89367078831,1115.57695854428,2129.30938403856,954.855793808857,1436.4593579796,1384.0869412187,1666.06252802613,1641.11822464238,2706.23059676305,1217.9507808092,1265.13028202946,3348.37336285867,1200.17544638585,1060.95961926347,2137.12966451129,501.516463987491,1925.67207115936,1336.8741419629
"JMJD6",158.216857392415,210.848800058199,42.3046344160988,65.290109169018,104.161220348109,138.444726562569,49.7752857499104,127.875308753452,115.219167259958,74.1405188150539,153.578061025216,85.0570634742179,102.848730750551,92.1513005209994,69.225163932557,124.90950938953,123.654467844919,128.824847846075,91.1107444798033,454.404391247527,61.5433644700844,60.7774345349171,249.834041045638,53.4297374803005,134.884809280175,139.474496052353,46.0820617267742,92.8599781026675,70.9242822407643
"PLCG1",441.866899023861,840.870064902758,371.545050089215,248.300263657932,441.153403827283,822.905103680314,356.286255894096,555.945702080557,324.918051673081,377.109799404965,546.357349841918,561.376618929838,292.787112539874,648.745155667836,306.24610565816,554.886474403489,479.161062899061,416.786272443184,365.567801925137,747.242776718156,689.893517763416,413.446495454634,1060.05280363986,528.715163424466,572.757137913579,466.605586793328,364.467215475396,897.646454992453,447.891700177977
