"","P_GSM184363.CEL","P_GSM184364.CEL","P_GSM184365.CEL","P_GSM184366.CEL","P_GSM184367.CEL","P_GSM184368.CEL","P_GSM184369.CEL","P_GSM184370.CEL","P_GSM184371.CEL","P_GSM184372.CEL","P_GSM184373.CEL","P_GSM184374.CEL","P_GSM184375.CEL","P_GSM184376.CEL","P_GSM184377.CEL","P_GSM184378.CEL"
"ZNF175",110.630196575723,151.811666354341,114.904723588126,144.097816080799,145.305796443342,110.81894765684,102.03764949355,125.982345325674,113.287318799537,129.192125352341,130.735882782792,129.190161935673,130.993116098255,103.527597057695,109.927010357962,103.676642065517
"BANP",176.491728850425,176.77793329516,111.211511043346,122.990164320239,176.790161028542,241.797641999987,161.070161028937,222.190161028537,123.173689300613,191.594607756123,106.805816481365,192.016148968978,139.602590479137,145.570847335398,173.079845276053,123.80070514667
"CD2BP2",138.426459468163,82.6531087242376,132.094113968852,159.400364766128,111.295146072544,116.164933790593,119.733592381694,156.732035792041,129.492667418218,128.890471719201,108.786216035398,100.311725502936,123.894313384023,103.379645872533,102.92415126453,141.310161084934
"SSSCA1",37.0884207494557,23.5566892770161,52.8707778998711,48.1950007370403,30.9507412748331,39.5091776108524,31.2251459344047,28.8077286209398,32.7707213868973,18.987462996556,39.8902723582898,29.4003988078426,33.8975037124254,28.4155591122702,25.2538366667156,59.7555051834682
"SAFB2",286.980373078859,426.501191264971,454.301819483268,238.015526435951,430.012336146957,374.386114035176,340.07800889293,361.692581071982,314.36553882076,326.141746907871,266.073987794455,313.845543840576,474.449233909954,494.968170919835,414.705354788882,305.306210266023
"PDS5A",199.237444155697,218.444726340972,270.831926532409,142.290882366276,185.147185999831,218.030161028537,212.479359583546,216.15439757915,186.593360282732,205.645676953917,187.586903361655,203.65328741586,179.072853102228,162.450638876759,219.676336065341,159.111944786672
"RUFY1",204.044544131034,230.998109750141,180.607321866174,118.225548157189,256.815060087786,192.790161028537,212.319178484356,212.186186760525,188.76650726685,201.080647260224,180.291467202214,183.849793551834,216.527638081346,214.111115353093,232.350161028537,186.975466569141
"HSPA1L",60.941998149931,57.5639943204759,61.0766382311284,64.545440033705,73.0961655170739,49.188823837869,62.2124599590738,116.590172206853,48.441893133925,57.7319788240341,52.7833696112256,96.6687244319316,66.4354004428264,62.5492090311929,102.437334913197,37.5002388079274
"PHF21A",215.195328640097,218.195323889357,235.710161028537,133.056629261919,225.187083806605,214.075370677632,217.236751023973,199.641809821573,217.985050555659,207.534071850786,145.541447732383,172.488826809093,185.778132441862,230.821501833463,233.373189470028,174.318829551678
"PAN2",171.416700252229,203.709226966165,160.411251932709,99.5103729091576,233.901466486166,217.633847830445,226.216430367553,287.910187594551,191.830161028537,215.291362935314,155.535199082327,180.168468711546,224.860304743693,215.451803032829,278.275187411076,135.736448080532
"RBM14",143.621101548773,156.340673644245,224.98847748707,85.104850217205,158.12975370991,184.573684013415,185.359360832741,265.070210976783,174.270161028546,167.581578606799,102.634650011614,159.560248299847,156.932746652191,157.500526105641,140.340898824402,127.802057511791
"FKBP4",552.702696417313,779.450988995773,623.353609317191,615.430161028537,661.501296367415,936.810387360497,563.936500614856,763.732745236217,428.443967416082,707.977542937495,483.830161028537,1131.19489288748,554.866166943867,657.10635044775,594.630161028536,327.651618542366
"DRD2",37.9065319767851,35.9453705440138,50.8442409759136,50.3700917850696,35.1302007915788,55.2830449717028,47.4223658560469,49.3367504102296,52.7508159710821,48.3256386022134,52.7508159710821,54.0559442432434,61.737452030478,46.048175894695,44.097060857917,43.2324543824157
"HNRNPH3",298.408616431769,303.755933197576,384.625101798335,211.070161028537,277.935964907311,275.797314791748,322.785741166444,307.249632000829,226.428304338622,163.918605093843,218.840663922266,252.442643513338,279.340178825976,337.076194437766,263.150161028537,211.920065378388
